city_id,city_primary,city_name,country_name,country_iso,continent,kg_zone,kg_class,population,lat,lon,bbox_west,bbox_east,bbox_south,bbox_north,n_pixels_1km,chunk_days_1km,n_chunks_1km,gee_collection,existing,selection_note
jakarta_idn,Jakarta,Jakarta,Indonesia,IDN,Asia,Af,A,36312538.7725,-6.38074672455,106.852957037,106.1046,107.6014,-6.8632,-5.8983,17794,50,132,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,False,auto-selected: pop rank within zone
singapore_sgp,Singapore,Singapore,Singapore,SGP,Asia,Af,A,6920918.42518,1.39113406877,103.885050818,103.6835,104.0866,1.2132,1.5691,1767,90,73,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,False,auto-selected: pop rank within zone
kampala_uga,Kampala,Kampala,Uganda,UGA,Africa,Af,A,3483365.2641,0.32733723871299997,32.5841667152,32.4144,32.7539,0.1777,0.477,1251,90,73,projects/sat-io/open-datasets/global-daily-air-temp/africa,False,auto-selected: pop rank within zone
mumbai_ind,Mumbai,Mumbai,India,IND,Asia,Am,A,21755882.3649,19.141073318,72.9707213262,72.7167,73.2247,18.9221,19.3601,2741,90,73,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,False,auto-selected: pop rank within zone
quezon_city__manila_phl,Quezon City [Manila],Quezon City [Manila],Philippines,PHL,Asia,Am,A,21691140.9203,14.5519138853,121.019178204,120.7649,121.2734,14.0688,15.035,6053,90,73,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,False,auto-selected: pop rank within zone
miami_usa,Miami,Miami,United States,USA,North America,Am,A,5406570.28784,26.1795873828,-80.2108039007,-80.4356,-79.986,25.4503,26.9089,8079,90,73,projects/sat-io/open-datasets/global-daily-air-temp/north_america,False,auto-selected: pop rank within zone
salvador,Salvador,Salvador,Brazil,BRA,South America,Aw,A,2900000.0,-12.97,-38.51,-39.26,-37.76,-13.72,-12.22,27722,32,206,projects/sat-io/open-datasets/global-daily-air-temp/latin_america,True,existing pilot city
teresina,Teresina,Teresina,Brazil,BRA,South America,Aw,A,900000.0,-5.09,-42.8,-43.55,-42.05,-5.84,-4.34,27722,32,206,projects/sat-io/open-datasets/global-daily-air-temp/latin_america,True,existing pilot city
caceres,Cáceres,Cáceres,Brazil,BRA,South America,Aw,A,100000.0,-16.07,-57.68,-58.43,-56.93,-16.82,-15.32,27722,32,206,projects/sat-io/open-datasets/global-daily-air-temp/latin_america,True,existing pilot city
delhi__new_delhi_ind,Delhi [New Delhi],Delhi [New Delhi],India,IND,Asia,BSh,B,26658713.5982,28.6287744312,77.203261718,76.7773,77.6292,28.2377,29.0198,8209,90,73,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,False,auto-selected: pop rank within zone
lahore_pak,Lahore,Lahore,Pakistan,PAK,Asia,BSh,B,10114717.5133,31.5178650821,74.2526499629,73.8661,74.6392,31.2472,31.7885,5156,90,73,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,False,auto-selected: pop rank within zone
luanda_ago,Luanda,Luanda,Angola,AGO,Africa,BSh,B,6786991.19412,-8.9018864235,13.3028377967,13.0871,13.5185,-9.0725,-8.7313,1813,90,73,projects/sat-io/open-datasets/global-daily-air-temp/africa,False,auto-selected: pop rank within zone
beijing_chn,Beijing,Beijing,China,CHN,Asia,BSk,B,17982667.6475,39.8989994115,116.3498742,115.9213,116.7785,39.6218,40.1762,5855,90,73,projects/sat-io/open-datasets/global-daily-air-temp/europe_asia,False,auto-selected: pop rank within zone
los_angeles_usa,Los Angeles,Los Angeles,United States,USA,North America,BSk,B,14281719.797,33.9538135524,-117.953925337,-118.7039,-117.2039,33.4851,34.4225,17324,51,129,projects/sat-io/open-datasets/global-daily-air-temp/north_america,False,auto-selected: pop rank within zone
