pixel_id,latitude,longitude,reference_percentile,heat_days,threshold_used,temperature_trend,seasonal_means,annual_max,annual_min,annual_range
0_0,-13.021080043312464,-38.69493086344839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1,-13.021080043312464,-38.685947710607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2,-13.021080043312464,-38.676964557766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3,-13.021080043312464,-38.6679814049248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_4,-13.021080043312464,-38.658998252083606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_5,-13.021080043312464,-38.65001509924242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_6,-13.021080043312464,-38.64103194640122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_7,-13.021080043312464,-38.632048793560024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_8,-13.021080043312464,-38.62306564071883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_9,-13.021080043312464,-38.61408248787763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10,-13.021080043312464,-38.605099335036435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11,-13.021080043312464,-38.542217265148075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_12,-13.021080043312464,-38.53323411230688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_13,-13.021080043312464,-38.52425095946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14,-13.021080043312464,-38.515267806624486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15,-13.021080043312464,-38.50628465378329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16,-13.021080043312464,-38.49730150094209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_17,-13.021080043312464,-38.4883183481009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_18,-13.021080043312464,-38.47933519525971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_19,-13.021080043312464,-38.47035204241851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_20,-13.021080043312464,-38.461368889577315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_21,-13.021080043312464,-38.45238573673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_22,-13.021080043312464,-38.44340258389492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_23,-13.021080043312464,-38.434419431053726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_24,-13.021080043312464,-38.42543627821254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_25,-13.021080043312464,-38.41645312537134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_26,-13.021080043312464,-38.407469972530144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_27,-13.021080043312464,-38.39848681968895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
